Ime;Japonsko ime;Klasifikacija;Napad;Obramba;Višina (m);Masa (kg);HP;Hitrost;Tip 1;Tip 2;Generacija;Legendaren
Lombre;Hasubreroハスブレロ;Jolly Pokémon;50;50;1,2;32,5;60;50;water;grass;3;0
Ludicolo;Runpappaルンパッパ;Carefree Pokémon;70;70;1,5;55,0;80;70;water;grass;3;0
Seedot;Tanebohタネボー;Acorn Pokémon;40;50;0,5;4,0;40;30;grass;;3;0
Nuzleaf;Konohanaコノハナ;Wily Pokémon;70;40;1,0;28,0;70;60;grass;dark;3;0
Shiftry;Dirtengダーテング;Wickid Pokémon;100;60;1,3;59,6;90;80;grass;dark;3;0
Taillow;Subameスバメ;TinySwallow Pokémon;55;30;0,3;2,3;40;85;normal;flying;3;0
Swellow;Ohsubameオオスバメ;Swallow Pokémon;85;60;0,7;19,8;60;125;normal;flying;3;0
Wingull;Camomeキャモメ;Seagull Pokémon;30;30;0,6;9,5;40;85;water;flying;3;0
Pelipper;Pelipperペリッパー;Water Bird Pokémon;50;100;1,2;28,0;60;65;water;flying;3;0
Ralts;Raltsラルトス;Feeling Pokémon;25;25;0,4;6,6;28;40;psychic;fairy;3;0
Kirlia;Kirliaキルリア;Emotion Pokémon;35;35;0,8;20,2;38;50;psychic;fairy;3;0
Gardevoir;Sirnightサーナイト;Embrace Pokémon;85;65;1,6;48,4;68;100;psychic;fairy;3;0
Surskit;Ametamaアメタマ;Pond Skater Pokémon;30;32;0,5;1,7;40;65;bug;water;3;0
Masquerain;Amemothアメモース;Eyeball Pokémon;60;62;0,8;3,6;70;80;bug;flying;3;0
Shroomish;Kinococoキノココ;Mushroom Pokémon;40;60;0,4;4,5;60;35;grass;;3;0
Breloom;Kinogassaキノガッサ;Mushroom Pokémon;130;80;1,2;39,2;60;70;grass;fighting;3;0
Slakoth;Namakeroナマケロ;Slacker Pokémon;60;60;0,8;24,0;60;30;normal;;3;0
Vigoroth;Yarukimonoヤルキモノ;Wild Monkey Pokémon;80;80;1,4;46,5;80;90;normal;;3;0
Slaking;Kekkingケッキング;Lazy Pokémon;160;100;2,0;130,5;150;100;normal;;3;0
Nincada;Tutininツチニン;Trainee Pokémon;45;90;0,5;5,5;31;40;bug;ground;3;0
Ninjask;Tekkaninテッカニン;Ninja Pokémon;90;45;0,8;12,0;61;160;bug;flying;3;0
Shedinja;Nukeninヌケニン;Shed Pokémon;90;45;0,8;1,2;1;40;bug;ghost;3;0
Whismur;Gonyonyoゴニョニョ;Whisper Pokémon;51;23;0,6;16,3;64;28;normal;;3;0
Loudred;Dogohmbドゴーム;Big Voice Pokémon;71;43;1,0;40,5;84;48;normal;;3;0
Exploud;Bakuongバクオング;Loud Noise Pokémon;91;63;1,5;84,0;104;68;normal;;3;0
Makuhita;Makunoshitaマクノシタ;Guts Pokémon;60;30;1,0;86,4;72;25;fighting;;3;0
Hariyama;Hariteyamaハリテヤマ;Arm Thrust Pokémon;120;60;2,3;253,8;144;50;fighting;;3;0
Azurill;Ruririルリリ;Polka Dot Pokémon;20;40;0,2;2,0;50;20;normal;fairy;3;0
Nosepass;Nosepassノズパス;Compass Pokémon;45;135;1,0;97,0;30;30;rock;;3;0
Skitty;Enecoエネコ;Kitten Pokémon;45;45;0,6;11,0;50;50;normal;;3;0
Delcatty;Enekororoエネコロロ;Prim Pokémon;65;65;1,1;32,6;70;90;normal;;3;0
Sableye;Yamiramiヤミラミ;Darkness Pokémon;85;125;0,5;11,0;50;20;dark;ghost;3;0
Mawile;Kucheatクチート;Deceiver Pokémon;105;125;0,6;11,5;50;50;steel;fairy;3;0
Aron;Cokodoraココドラ;Iron Armor Pokémon;70;100;0,4;60,0;50;30;steel;rock;3;0
Lairon;Kodoraコドラ;Iron Armor Pokémon;90;140;0,9;120,0;60;40;steel;rock;3;0
Aggron;Bossgodoraボスゴドラ;Iron Armor Pokémon;140;230;2,1;360,0;70;50;steel;rock;3;0
Meditite;Asananアサナン;Meditate Pokémon;40;55;0,6;11,2;30;60;fighting;psychic;3;0
Medicham;Charemチャーレム;Meditate Pokémon;100;85;1,3;31,5;60;100;fighting;psychic;3;0
Electrike;Rakuraiラクライ;Lightning Pokémon;45;40;0,6;15,2;40;65;electric;;3;0
Manectric;Livoltライボルト;Discharge Pokémon;75;80;1,5;40,2;70;135;electric;;3;0
Plusle;Prasleプラスル;Cheering Pokémon;50;40;0,4;4,2;60;95;electric;;3;0
Minun;Minunマイナン;Cheering Pokémon;40;50;0,4;4,2;60;95;electric;;3;0
Volbeat;Barubeatバルビート;Firefly Pokémon;73;75;0,7;17,7;65;85;bug;;3;0
Illumise;Illumiseイルミーゼ;Firefly Pokémon;47;75;0,6;17,7;65;85;bug;;3;0
Roselia;Roseliaロゼリア;Thorn Pokémon;60;45;0,3;2,0;50;65;grass;poison;3;0
Gulpin;Gokulinゴクリン;Stomach Pokémon;43;53;0,4;10,3;70;40;poison;;3;0
Swalot;Marunoomマルノーム;Poison Bag Pokémon;73;83;1,7;80,0;100;55;poison;;3;0
Carvanha;Kibanhaキバニア;Savage Pokémon;90;20;0,8;20,8;45;65;water;dark;3;0
Sharpedo;Samehaderサメハダー;Brutal Pokémon;140;70;1,8;88,8;70;105;water;dark;3;0
Wailmer;Hoerukoホエルコ;Ball Whale Pokémon;70;35;2,0;130,0;130;60;water;;3;0
Wailord;Whalohホエルオー;Float Whale Pokémon;90;45;14,5;398,0;170;60;water;;3;0
Numel;Donmelドンメル;Numb Pokémon;60;40;0,7;24,0;60;35;fire;ground;3;0
Camerupt;Bakuudaバクーダ;Eruption Pokémon;120;100;1,9;220,0;70;20;fire;ground;3;0
Torkoal;Cotoiseコータス;Coal Pokémon;85;140;0,5;80,4;70;20;fire;;3;0
Spoink;Banebooバネブー;Bounce Pokémon;25;35;0,7;30,6;60;60;psychic;;3;0
Grumpig;Boopigブーピッグ;Manipulate Pokémon;45;65;0,9;71,5;80;80;psychic;;3;0
Spinda;Patcheelパッチール;Spot Panda Pokémon;60;60;1,1;5,0;60;60;normal;;3;0
Trapinch;Nuckrarナックラー;Ant Pit Pokémon;100;45;0,7;15,0;45;10;ground;;3;0
Vibrava;Vibravaビブラーバ;Vibration Pokémon;70;50;1,1;15,3;50;70;ground;dragon;3;0
Flygon;Flygonフライゴン;Mystic Pokémon;100;80;2,0;82,0;80;100;ground;dragon;3;0
Cacnea;Saboneaサボネア;Cactus Pokémon;85;40;0,4;51,3;50;35;grass;;3;0
Cacturne;Noctusノクタス;Scarecrow Pokémon;115;60;1,3;77,4;70;55;grass;dark;3;0
Swablu;Tylttoチルット;Cotton Bird Pokémon;40;60;0,4;1,2;45;50;normal;flying;3;0
Altaria;Tyltalisチルタリス;Humming Pokémon;110;110;1,1;20,6;75;80;dragon;flying;3;0
Zangoose;Zangooseザングース;Cat Ferret Pokémon;115;60;1,3;40,3;73;90;normal;;3;0
Seviper;Habunakeハブネーク;Fang Snake Pokémon;100;60;2,7;52,5;73;65;poison;;3;0
Lunatone;Lunatoneルナトーン;Meteorite Pokémon;55;65;1,0;168,0;90;70;rock;psychic;3;0
Solrock;Solrockソルロック;Meteorite Pokémon;95;85;1,2;154,0;90;70;rock;psychic;3;0
Barboach;Dojoachドジョッチ;Whiskers Pokémon;48;43;0,4;1,9;50;60;water;ground;3;0
Whiscash;Namazunナマズン;Whiskers Pokémon;78;73;0,9;23,6;110;60;water;ground;3;0
Corphish;Heiganiヘイガニ;Ruffian Pokémon;80;65;0,6;11,5;43;35;water;;3;0
Crawdaunt;Shizarigerシザリガー;Rogue Pokémon;120;85;1,1;32,8;63;55;water;dark;3;0
Baltoy;Yajilonヤジロン;Clay Doll Pokémon;40;55;0,5;21,5;40;55;ground;psychic;3;0
Claydol;Nendollネンドール;Clay Doll Pokémon;70;105;1,5;108,0;60;75;ground;psychic;3;0
Lileep;Lilylaリリーラ;Sea Lily Pokémon;41;77;1,0;23,8;66;23;rock;grass;3;0
Cradily;Yuradleユレイドル;Barnacle Pokémon;81;97;1,5;60,4;86;43;rock;grass;3;0
Anorith;Anopthアノプス;Old Shrimp Pokémon;95;50;0,7;12,5;45;75;rock;bug;3;0
Armaldo;Armaldoアーマルド;Plate Pokémon;125;100;1,5;68,2;75;45;rock;bug;3;0
Feebas;Hinbassヒンバス;Fish Pokémon;15;20;0,6;7,4;20;80;water;;3;0
Milotic;Milokarossミロカロス;Tender Pokémon;60;79;6,2;162,0;95;81;water;;3;0
Castform;Powalenポワルン;Weather Pokémon;70;70;0,3;0,8;70;70;normal;;3;0
Kecleon;Kakureonカクレオン;Color Swap Pokémon;90;70;1,0;22,0;60;40;normal;;3;0
Shuppet;Kagebouzuカゲボウズ;Puppet Pokémon;75;35;0,6;2,3;44;45;ghost;;3;0
Banette;Juppetaジュペッタ;Marionette Pokémon;165;75;1,1;12,5;64;75;ghost;;3;0
Duskull;Yomawaruヨマワル;Requiem Pokémon;40;90;0,8;15,0;20;25;ghost;;3;0
Dusclops;Samayouruサマヨール;Beckon Pokémon;70;130;1,6;30,6;40;25;ghost;;3;0
Tropius;Tropiusトロピウス;Fruit Pokémon;68;83;2,0;100,0;99;51;grass;flying;3;0
Chimecho;Chireanチリーン;Wind Chime Pokémon;50;80;0,6;1,0;75;65;psychic;;3;0
Absol;Absolアブソル;Disaster Pokémon;150;60;1,2;47,0;65;115;dark;;3;0
Wynaut;Sohnanoソーナノ;Bright Pokémon;23;48;0,6;14,0;95;23;psychic;;3;0
Snorunt;Yukiwarashiユキワラシ;Snow Hat Pokémon;50;50;0,7;16,8;50;50;ice;;3;0
Glalie;Onigohriオニゴーリ;Face Pokémon;120;80;1,5;256,5;80;100;ice;;3;0
Spheal;Tamazarashiタマザラシ;Clap Pokémon;40;50;0,8;39,5;70;25;ice;water;3;0
Sealeo;Todogglerトドグラー;Ball Roll Pokémon;60;70;1,1;87,6;90;45;ice;water;3;0
Walrein;Todoserugaトドゼルガ;Ice Break Pokémon;80;90;1,4;150,6;110;65;ice;water;3;0
Clamperl;Pearluluパールル;Bivalve Pokémon;64;85;0,4;52,5;35;32;water;;3;0
Huntail;Huntailハンテール;Deep Sea Pokémon;104;105;1,7;27,0;55;52;water;;3;0
Gorebyss;Sakurabyssサクラビス;South Sea Pokémon;84;105;1,8;22,6;55;52;water;;3;0
Relicanth;Glanthジーランス;Longevity Pokémon;90;130;1,0;23,4;100;55;water;rock;3;0
Luvdisc;Lovecusラブカス;Rendezvous Pokémon;30;55;0,6;8,7;43;97;water;;3;0
Bagon;Tatsubayタツベイ;Rock Head Pokémon;75;60;0,6;42,1;45;50;dragon;;3;0
Shelgon;Komoruuコモルー;Endurance Pokémon;95;100;1,1;110,5;65;50;dragon;;3;0
Salamence;Bohmanderボーマンダ;Dragon Pokémon;145;130;1,5;102,6;95;120;dragon;flying;3;0
Beldum;Dumbberダンバル;Iron Ball Pokémon;55;80;0,6;95,2;40;30;steel;psychic;3;0
Metang;Metangメタング;Iron Claw Pokémon;75;100;1,2;202,5;60;50;steel;psychic;3;0
Metagross;Metagrossメタグロス;Iron Leg Pokémon;145;150;1,6;550,0;80;110;steel;psychic;3;0
Regirock;Regirockレジロック;Rock Peak Pokémon;100;200;1,7;230,0;80;50;rock;;3;1
Regice;Regiceレジアイス;Iceberg Pokémon;50;100;1,8;175,0;80;50;ice;;3;1
Registeel;Registeelレジスチル;Iron Pokémon;75;150;1,9;205,0;80;50;steel;;3;1
Latias;Latiasラティアス;Eon Pokémon;100;120;1,4;40,0;80;110;dragon;psychic;3;1
Latios;Latiosラティオス;Eon Pokémon;130;100;2,0;60,0;80;110;dragon;psychic;3;1
Kyogre;Kyogreカイオーガ;Sea Basin Pokémon;150;90;4,5;352,0;100;90;water;;3;1
Groudon;Groudonグラードン;Continent Pokémon;180;160;3,5;950,0;100;90;ground;;3;1
Rayquaza;Rayquazaレックウザ;Sky High Pokémon;180;100;7,0;206,5;105;115;dragon;flying;3;1
Jirachi;Jirachiジラーチ;Wish Pokémon;100;100;0,3;1,1;100;100;steel;psychic;3;1
Deoxys;Deoxysデオキシス;DNA Pokémon;95;90;1,7;60,8;50;180;psychic;;3;1
Turtwig;Naetleナエトル;Tiny Leaf Pokémon;68;64;0,4;10,2;55;31;grass;;4;0
Grotle;Hayashigameハヤシガメ;Grove Pokémon;89;85;1,1;97,0;75;36;grass;;4;0
Torterra;Dodaitoseドダイトス;Continent Pokémon;109;105;2,2;310,0;95;56;grass;ground;4;0
Chimchar;Hikozaruヒコザル;Chimp Pokémon;58;44;0,5;6,2;44;61;fire;;4;0
Monferno;Moukazaruモウカザル;Playful Pokémon;78;52;0,9;22,0;64;81;fire;fighting;4;0
Infernape;Goukazaruゴウカザル;Flame Pokémon;104;71;1,2;55,0;76;108;fire;fighting;4;0
Piplup;Pochamaポッチャマ;Penguin Pokémon;51;53;0,4;5,2;53;40;water;;4;0
Prinplup;Pottaishiポッタイシ;Penguin Pokémon;66;68;0,8;23,0;64;50;water;;4;0
Empoleon;Emperteエンペルト;Emperor Pokémon;86;88;1,7;84,5;84;60;water;steel;4;0
Starly;Mukkuruムックル;Starling Pokémon;55;30;0,3;2,0;40;60;normal;flying;4;0
Staravia;Mukubirdムクバード;Starling Pokémon;75;50;0,6;15,5;55;80;normal;flying;4;0
Staraptor;Mukuhawkムクホーク;Predator Pokémon;120;70;1,2;24,9;85;100;normal;flying;4;0
Bidoof;Bippaビッパ;Plump Mouse Pokémon;45;40;0,5;20,0;59;31;normal;;4;0
Bibarel;Beadaruビーダル;Beaver Pokémon;85;60;1,0;31,5;79;71;normal;water;4;0
Kricketot;Korobohshiコロボーシ;Cricket Pokémon;25;41;0,3;2,2;37;25;bug;;4;0
Kricketune;Korotockコロトック;Cricket Pokémon;85;51;1,0;25,5;77;65;bug;;4;0
Shinx;Kolinkコリンク;Flash Pokémon;65;34;0,5;9,5;45;45;electric;;4;0
Luxio;Luxioルクシオ;Spark Pokémon;85;49;0,9;30,5;60;60;electric;;4;0
Luxray;Rentorarレントラー;Gleam Eyes Pokémon;120;79;1,4;42,0;80;70;electric;;4;0
Budew;Subomieスボミー;Bud Pokémon;30;35;0,2;1,2;40;55;grass;poison;4;0
Roserade;Roseradeロズレイド;Bouquet Pokémon;70;65;0,9;14,5;60;90;grass;poison;4;0
Cranidos;Zugaidosズガイドス;Head Butt Pokémon;125;40;0,9;31,5;67;58;rock;;4;0
Rampardos;Rampaldラムパルド;Head Butt Pokémon;165;60;1,6;102,5;97;58;rock;;4;0
Shieldon;Tatetopsタテトプス;Shield Pokémon;42;118;0,5;57,0;30;30;rock;steel;4;0
Bastiodon;Toridepsトリデプス;Shield Pokémon;52;168;1,3;149,5;60;30;rock;steel;4;0
Burmy;Minomucchiミノムッチ;Bagworm Pokémon;29;45;0,2;3,4;40;36;bug;;4;0
Wormadam;Minomadam (kusaki No Mino)ミノマダム;Bagworm Pokémon;69;95;0,5;6,5;60;36;bug;grass;4;0
Mothim;Gamaleガーメイル;Moth Pokémon;94;50;0,9;23,3;70;66;bug;flying;4;0
Combee;Mitsuhoneyミツハニー;Tiny Bee Pokémon;30;42;0,3;5,5;30;70;bug;flying;4;0
Vespiquen;Beequenビークイン;Beehive Pokémon;80;102;1,2;38,5;70;40;bug;flying;4;0
Pachirisu;Pachirisuパチリス;EleSquirrel Pokémon;45;70;0,4;3,9;60;95;electric;;4;0
Buizel;Buoyselブイゼル;Sea Weasel Pokémon;65;35;0,7;29,5;55;85;water;;4;0
Floatzel;Floazelフローゼル;Sea Weasel Pokémon;105;55;1,1;33,5;85;115;water;;4;0
Cherubi;Cherinboチェリンボ;Cherry Pokémon;35;45;0,4;3,3;45;35;grass;;4;0
Cherrim;Cherrimチェリム;Blossom Pokémon;60;70;0,5;9,3;70;85;grass;;4;0
Shellos;Karanakushiカラナクシ;Sea Slug Pokémon;48;48;0,3;6,3;76;34;water;;4;0
Gastrodon;Tritodonトリトドン;Sea Slug Pokémon;83;68;0,9;29,9;111;39;water;ground;4;0
Ambipom;Etebothエテボース;Long Tail Pokémon;100;66;1,2;20,3;75;115;normal;;4;0
Drifloon;Fuwanteフワンテ;Balloon Pokémon;50;34;0,4;1,2;90;70;ghost;flying;4;0
Drifblim;Fuwarideフワライド;Blimp Pokémon;80;44;1,2;15,0;150;80;ghost;flying;4;0
Buneary;Mimirolミミロル;Rabbit Pokémon;66;44;0,4;5,5;55;85;normal;;4;0
Lopunny;Mimilopミミロップ;Rabbit Pokémon;136;94;1,2;33,3;65;135;normal;;4;0
Mismagius;Mumargiムウマージ;Magical Pokémon;60;60;0,9;4,4;60;105;ghost;;4;0
Honchkrow;Dongkarasuドンカラス;Big Boss Pokémon;125;52;0,9;27,3;100;71;dark;flying;4;0
Glameow;Nyarmarニャルマー;Catty Pokémon;55;42;0,5;3,9;49;85;normal;;4;0
Purugly;Bunyattoブニャット;Tiger Cat Pokémon;82;64;1,0;43,8;71;112;normal;;4;0
Chingling;Lisyanリーシャン;Bell Pokémon;30;50;0,2;0,6;45;45;psychic;;4;0
Stunky;Skunpuuスカンプー;Skunk Pokémon;63;47;0,4;19,2;63;74;poison;dark;4;0
Skuntank;Skutankスカタンク;Skunk Pokémon;93;67;1,0;38,0;103;84;poison;dark;4;0
Bronzor;Dohmirrorドーミラー;Bronze Pokémon;24;86;0,5;60,5;57;23;steel;psychic;4;0
Bronzong;Dohtakunドータクン;Bronze Bell Pokémon;89;116;1,3;187,0;67;33;steel;psychic;4;0
Bonsly;Usohachiウソハチ;Bonsai Pokémon;80;95;0,5;15,0;50;10;rock;;4;0
Mime Jr,;Maneneマネネ;Mime Pokémon;25;45;0,6;13,0;20;60;psychic;fairy;4;0
Happiny;Pinpukuピンプク;Playhouse Pokémon;5;5;0,6;24,4;100;30;normal;;4;0
Chatot;Perapペラップ;Music Note Pokémon;65;45;0,5;1,9;76;91;normal;flying;4;0
Spiritomb;Mikarugeミカルゲ;Forbidden Pokémon;92;108;1,0;108,0;50;35;ghost;dark;4;0
Gible;Fukamaruフカマル;Land Shark Pokémon;70;45;0,7;20,5;58;42;dragon;ground;4;0
Gabite;Gabiteガバイト;Cave Pokémon;90;65;1,4;56,0;68;82;dragon;ground;4;0
Garchomp;Gaburiasガブリアス;Mach Pokémon;170;115;1,9;95,0;108;92;dragon;ground;4;0
Munchlax;Gonbeゴンベ;Big Eater Pokémon;85;40;0,6;105,0;135;5;normal;;4;0
Riolu;Rioluリオル;Emanation Pokémon;70;40;0,7;20,2;40;60;fighting;;4;0
Lucario;Lucarioルカリオ;Aura Pokémon;145;88;1,2;54,0;70;112;fighting;steel;4;0
Hippopotas;Hippopotasヒポポタス;Hippo Pokémon;72;78;0,8;49,5;68;32;ground;;4;0
Hippowdon;Kabaldonカバルドン;Heavyweight Pokémon;112;118;2,0;300,0;108;47;ground;;4;0
Skorupi;Scorupiスコルピ;Scorpion Pokémon;50;90;0,8;12,0;40;65;poison;bug;4;0
Drapion;Dorapionドラピオン;Ogre Scorp Pokémon;90;110;1,3;61,5;70;95;poison;dark;4;0
Croagunk;Gureggruグレッグル;Toxic Mouth Pokémon;61;40;0,7;23,0;48;50;poison;fighting;4;0
Toxicroak;Dokurogドクロッグ;Toxic Mouth Pokémon;106;65;1,3;44,4;83;85;poison;fighting;4;0
Carnivine;Muskippaマスキッパ;Bug Catcher Pokémon;100;72;1,4;27,0;74;46;grass;;4;0
Finneon;Keikouoケイコウオ;Wing Fish Pokémon;49;56;0,4;7,0;49;66;water;;4;0
Lumineon;Neolantネオラント;Neon Pokémon;69;76;1,2;24,0;69;91;water;;4;0
Mantyke;Tamantaタマンタ;Kite Pokémon;20;50;1,0;65,0;45;50;water;flying;4;0
Snover;Yukikaburiユキカブリ;Frosted Tree Pokémon;62;50;1,0;50,5;60;40;grass;ice;4;0
Abomasnow;Yukinoohユキノオー;Frosted Tree Pokémon;132;105;2,2;135,5;90;30;grass;ice;4;0
Weavile;Manyulaマニューラ;Sharp Claw Pokémon;120;65;1,1;34,0;70;125;dark;ice;4;0
Magnezone;Jibacoilジバコイル;Magnet Area Pokémon;70;115;1,2;180,0;70;60;electric;steel;4;0
Lickilicky;Berobeltベロベルト;Licking Pokémon;85;95;1,7;140,0;110;50;normal;;4;0
Rhyperior;Dosidonドサイドン;Drill Pokémon;140;130;2,4;282,8;115;40;ground;rock;4;0
Tangrowth;Mojumboモジャンボ;Vine Pokémon;100;125;2,0;128,6;100;50;grass;;4;0
Electivire;Elekibleエレキブル;Thunderbolt Pokémon;123;67;1,8;138,6;75;95;electric;;4;0
Magmortar;Booburnブーバーン;Blast Pokémon;95;67;1,6;68,0;75;83;fire;;4;0
Togekiss;Togekissトゲキッス;Jubilee Pokémon;50;95;1,5;38,0;85;80;fairy;flying;4;0
Yanmega;Megayanmaメガヤンマ;Ogre Darner Pokémon;76;86;1,9;51,5;86;95;bug;flying;4;0
Leafeon;Leafiaリーフィア;Verdant Pokémon;110;130;1,0;25,5;65;95;grass;;4;0
Glaceon;Glaciaグレイシア;Fresh Snow Pokémon;60;110;0,8;25,9;65;65;ice;;4;0
Gliscor;Glionグライオン;Fang Scorp Pokémon;95;125;2,0;42,5;75;95;ground;flying;4;0
Mamoswine;Mammooマンムー;Twin Tusk Pokémon;130;80;2,5;291,0;110;80;ice;ground;4;0
Porygon-Z;Porygon-zポリゴンＺ;Virtual Pokémon;80;70;0,9;34,0;85;90;normal;;4;0
Gallade;Erureidoエルレイド;Blade Pokémon;165;95;1,6;52,0;68;110;psychic;fighting;4;0
Probopass;Dainoseダイノーズ;Compass Pokémon;55;145;1,4;340,0;60;40;rock;steel;4;0
Dusknoir;Yonoirヨノワール;Gripper Pokémon;100;135;2,2;106,6;45;45;ghost;;4;0
Froslass;Yukimenokoユキメノコ;Snow Land Pokémon;80;70;1,3;26,6;70;110;ice;ghost;4;0
Rotom;Rotomロトム;Plasma Pokémon;65;107;0,3;0,3;50;86;electric;ghost;4;0
Uxie;Yuxieユクシー;Knowledge Pokémon;75;130;0,3;0,3;75;95;psychic;;4;1
Mesprit;Emritエムリット;Emotion Pokémon;105;105;0,3;0,3;80;80;psychic;;4;1
Azelf;Agnomeアグノム;Willpower Pokémon;125;70;0,3;0,3;75;115;psychic;;4;1
Dialga;Dialgaディアルガ;Temporal Pokémon;120;120;5,4;683,0;100;90;steel;dragon;4;1
Palkia;Palkiaパルキア;Spatial Pokémon;120;100;4,2;336,0;90;100;water;dragon;4;1
Heatran;Heatranヒードラン;Lava Dome Pokémon;90;106;1,7;430,0;91;77;fire;steel;4;1
Regigigas;Regigigasレジギガス;Colossal Pokémon;160;110;3,7;420,0;110;100;normal;;4;1
Giratina;Giratina (another Forme)ギラティナ;Renegade Pokémon;120;100;4,5;750,0;150;90;ghost;dragon;4;1
Cresselia;Cresseliaクレセリア;Lunar Pokémon;70;120;1,5;85,6;120;85;psychic;;4;1
Phione;Phioneフィオネ;Sea Drifter Pokémon;80;80;0,4;3,1;80;80;water;;4;0
Manaphy;Manaphyマナフィ;Seafaring Pokémon;100;100;0,3;1,4;100;100;water;;4;1
Darkrai;Darkraiダークライ;Pitch-Black Pokémon;90;90;1,5;50,5;70;125;dark;;4;1
Shaymin;Shaymin (sky Forme)シェイミ;Gratitude Pokémon;103;75;0,2;2,1;100;127;grass;grass;4;1
Arceus;Arceusアルセウス;Alpha Pokémon;120;120;3,2;320,0;120;120;normal;;4;1
Victini;Victiniビクティニ;Victory Pokémon;100;100;0,4;4,0;100;100;psychic;fire;5;1
Snivy;Tsutarjaツタージャ;Grass Snake Pokémon;45;55;0,6;8,1;45;63;grass;;5;0
Servine;Janovyジャノビー;Grass Snake Pokémon;60;75;0,8;16,0;60;83;grass;;5;0
Serperior;Jalordaジャローダ;Regal Pokémon;75;95;3,3;63,0;75;113;grass;;5;0
Tepig;Pokabuポカブ;Fire Pig Pokémon;63;45;0,5;9,9;65;45;fire;;5;0
Pignite;Chaobooチャオブー;Fire Pig Pokémon;93;55;1,0;55,5;90;55;fire;fighting;5;0
Emboar;Enbuohエンブオー;Mega Fire Pig Pokémon;123;65;1,6;150,0;110;65;fire;fighting;5;0
Oshawott;Mijumaruミジュマル;Sea Otter Pokémon;55;45;0,5;5,9;55;45;water;;5;0
Dewott;Futachimaruフタチマル;Discipline Pokémon;75;60;0,8;24,5;75;60;water;;5;0
Samurott;Daikenkiダイケンキ;Formidable Pokémon;100;85;1,5;94,6;95;70;water;;5;0
Patrat;Minezumiミネズミ;Scout Pokémon;55;39;0,5;11,6;45;42;normal;;5;0
Watchog;Miruhogミルホッグ;Lookout Pokémon;85;69;1,1;27,0;60;77;normal;;5;0
Lillipup;Yorterrieヨーテリー;Puppy Pokémon;60;45;0,4;4,1;45;55;normal;;5;0
Herdier;Herderrieハーデリア;Loyal Dog Pokémon;80;65;0,9;14,7;65;60;normal;;5;0
Stoutland;Moolandムーランド;Big-Hearted Pokémon;110;90;1,2;61,0;85;80;normal;;5;0
Purrloin;Choronekoチョロネコ;Devious Pokémon;50;37;0,4;10,1;41;66;dark;;5;0
Liepard;Lepardasレパルダス;Cruel Pokémon;88;50;1,1;37,5;64;106;dark;;5;0
Pansage;Yanappuヤナップ;Grass Monkey Pokémon;53;48;0,6;10,5;50;64;grass;;5;0
Simisage;Yanakkieヤナッキー;Thorn Monkey Pokémon;98;63;1,1;30,5;75;101;grass;;5;0
Pansear;Baoppuバオップ;High Temp Pokémon;53;48;0,6;11,0;50;64;fire;;5;0
Simisear;Baokkieバオッキー;Ember Pokémon;98;63;1,0;28,0;75;101;fire;;5;0
Panpour;Hiyappuヒヤップ;Spray Pokémon;53;48;0,6;13,5;50;64;water;;5;0
Simipour;Hiyakkieヒヤッキー;Geyser Pokémon;98;63;1,0;29,0;75;101;water;;5;0
Munna;Munnaムンナ;Dream Eater Pokémon;25;45;0,6;23,3;76;24;psychic;;5;0
Musharna;Musharnaムシャーナ;Drowsing Pokémon;55;85;1,1;60,5;116;29;psychic;;5;0
Pidove;Mamepatoマメパト;Tiny Pigeon Pokémon;55;50;0,3;2,1;50;43;normal;flying;5;0
Tranquill;Hatobohハトーボー;Wild Pigeon Pokémon;77;62;0,6;15,0;62;65;normal;flying;5;0
Unfezant;Kenhallowケンホロウ;Proud Pokémon;115;80;1,2;29,0;80;93;normal;flying;5;0
Blitzle;Shimamaシママ;Electrified Pokémon;60;32;0,8;29,8;45;76;electric;;5;0
Zebstrika;Zebraikaゼブライカ;Thunderbolt Pokémon;100;63;1,6;79,5;75;116;electric;;5;0
Roggenrola;Dangoroダンゴロ;Mantle Pokémon;75;85;0,4;18,0;55;15;rock;;5;0
Boldore;Gantleガントル;Ore Pokémon;105;105;0,9;102,0;70;20;rock;;5;0
Gigalith;Gigaiathギガイアス;Compressed Pokémon;135;130;1,7;260,0;85;25;rock;;5;0
Woobat;Koromoriコロモリ;Bat Pokémon;45;43;0,4;2,1;65;72;psychic;flying;5;0
Swoobat;Kokoromoriココロモリ;Courting Pokémon;57;55;0,9;10,5;67;114;psychic;flying;5;0
Drilbur;Mogurewモグリュー;Mole Pokémon;85;40;0,3;8,5;60;68;ground;;5;0
Excadrill;Doryuzuドリュウズ;Subterrene Pokémon;135;60;0,7;40,4;110;88;ground;steel;5;0
Audino;Tabunneタブンネ;Hearing Pokémon;60;126;1,1;31,0;103;50;normal;;5;0
Timburr;Dokkorerドッコラー;Muscular Pokémon;80;55;0,6;12,5;75;35;fighting;;5;0
Gurdurr;Dotekkotsuドテッコツ;Muscular Pokémon;105;85;1,2;40,0;85;40;fighting;;5;0
Conkeldurr;Roubushinローブシン;Muscular Pokémon;140;95;1,4;87,0;105;45;fighting;;5;0
Tympole;Otamaroオタマロ;Tadpole Pokémon;50;40;0,5;4,5;50;64;water;;5;0
